liblsof0	4.99.4+dfsg-2build2
libltc11:amd64	1.3.2-1build2
liblua5.4-0:amd64	5.4.8-1build1
liblvm2cmd2.03:amd64	2.03.31-2ubuntu3
liblz4-1:amd64	1.10.0-8
liblzma5:amd64	5.8.3-1
liblzo2-2:amd64	2.10-3build2
libmagic-mgc	1:5.46-5build2
libmagic1t64:amd64	1:5.46-5build2
libmaxminddb0:amd64	1.12.2-1build2
libmbim-glib4:amd64	1.32.0-2ubuntu1
libmbim-proxy	1.32.0-2ubuntu1
libmbim-utils	1.32.0-2ubuntu1
libmd0:amd64	1.1.0-2build4
libmjpegutils-2.2-0:amd64	1:2.2.1-3
libmm-glib0:amd64	1.25.95-1ubuntu1
libmnl0:amd64	1.0.5-3build1
libmodplug1:amd64	1:0.8.9.0-3build2
libmodule-find-perl	0.17-1
libmount1:amd64	2.41.3-3ubuntu2.2
libmp3lame0:amd64	3.101~svn6525+dfsg-2
libmpathcmd0	0.14.3-2ubuntu1
libmpathpersist0	0.14.3-2ubuntu1
libmpcdec6:amd64	2:0.1~r495-3build1
libmpeg2encpp-2.2-0:amd64	1:2.2.1-3
libmpfr6:amd64	4.2.2-3
libmpg123-0t64:amd64	1.33.3-2
libmplex2-2.2-0:amd64	1:2.2.1-3
libmspack0t64:amd64	0.11-1.1build2
libmultipath0	0.14.3-2ubuntu1
libncurses6:amd64	6.6+20251231-1
libncursesw6:amd64	6.6+20251231-1
libndp0:amd64	1.9-1build1
libneon27t64:amd64	0.36.0-1
libnet9:amd64	1.3+dfsg-3
libnetfilter-conntrack3:amd64	1.1.1-1
libnetplan1:amd64	1.2-1ubuntu5
libnettle8t64:amd64	3.10.2-1
libnewt0.52:amd64	0.52.25-1ubuntu3
libnfnetlink0:amd64	1.0.2-3build1
libnftables1:amd64	1.1.6-1
libnftnl11:amd64	1.3.1-1
libnghttp2-14:amd64	1.68.0-2ubuntu0.2
libnice10:amd64	0.1.23-2
libnl-3-200:amd64	3.12.0-2
libnl-genl-3-200:amd64	3.12.0-2
libnl-route-3-200:amd64	3.12.0-2
libnm0:amd64	1.54.3-2ubuntu3
libnode127:amd64	22.22.1+dfsg+~cs22.19.15-1ubuntu1
libnpth0t64:amd64	1.8-3build1
libnspr4:amd64	2:4.38.2-1ubuntu1
libnss-mymachines:amd64	259.5-0ubuntu3.4
libnss-systemd:amd64	259.5-0ubuntu3.4
libnss3:amd64	2:3.120-1ubuntu2.1
libnss3-tools	2:3.120-1ubuntu2.1
libntfs-3g89t64:amd64	1:2022.10.3-5ubuntu1.1
libnuma1:amd64	2.0.19-1build1
libnvme1t64:amd64	1.16.1-4
libogg0:amd64	1.3.6-2
libonig5:amd64	6.9.10-1build1
libonnx1t64:amd64	1.20.0-1
libonnxruntime-providers:amd64	1.23.2+dfsg-6ubuntu1
libonnxruntime1.23:amd64	1.23.2+dfsg-6ubuntu1
libopenal-data	1:1.25.1-2
libopenal1:amd64	1:1.25.1-2
libopenexr-3-1-30:amd64	3.1.13-2build1
libopenh264-8:amd64	2.6.0+dfsg-2build1
libopeniscsiusr	2.1.11-3ubuntu3
libopenjp2-7:amd64	2.5.4-1ubuntu0.1
libopenmpt0t64:amd64	0.8.4-1
libopenni2-0:amd64	2.2.0.33+dfsg-19
libopus0:amd64	1.6.1-1
liborc-0.4-0t64:amd64	1:0.4.42-2
libp11-kit0:amd64	0.26.2-2
libpackagekit-glib2-18:amd64	1.3.4-3ubuntu1.2
libpam-cap:amd64	1:2.75-10ubuntu2
libpam-modules:amd64	1.7.0-5ubuntu3.2
libpam-modules-bin	1.7.0-5ubuntu3.2
libpam-runtime	1.7.0-5ubuntu3.2
libpam-systemd:amd64	259.5-0ubuntu3.4
libpam0g:amd64	1.7.0-5ubuntu3.2
libpango-1.0-0:amd64	1.57.0-1
libpangocairo-1.0-0:amd64	1.57.0-1
libpangoft2-1.0-0:amd64	1.57.0-1
libparted2t64:amd64	3.6-6
libpcap0.8t64:amd64	1.10.6-1ubuntu1
libpci3:amd64	1:3.14.0-1build2
libpciaccess0:amd64	0.18.1-1ubuntu4.1
libpcre2-8-0:amd64	10.46-1build1
libpcsclite1:amd64	2.4.1-1
libperl5.40:amd64	5.40.1-7ubuntu0.1
libpipeline1:amd64	1.5.8-2
libpipewire-0.3-0t64:amd64	1.6.2-1ubuntu1.1
libpixman-1-0:amd64	0.46.4-1
libplist-2.0-4:amd64	2.7.0+git20250820-1build1
libplymouth5:amd64	24.004.60+git20250831.4a3c171d-0ubuntu8
libpng16-16t64:amd64	1.6.57-1
libpolkit-agent-1-0:amd64	127-2ubuntu1
libpolkit-gobject-1-0:amd64	127-2ubuntu1
libpopt0:amd64	1.19+dfsg-2build1
libproc-processtable-perl:amd64	0.637-1
libproc2-0:amd64	2:4.0.4-9ubuntu1
libprotobuf32t64:amd64	3.21.12-15ubuntu1
libproxy1v5:amd64	0.5.12-1
libpsl5t64:amd64	0.21.2-1.1build2
libpthreadpool0:amd64	0.0~git20251020.0e6ca13-1
libpulse0:amd64	1:17.0+dfsg1-2ubuntu4
libpython3-stdlib:amd64	3.14.3-0ubuntu2
libpython3.14:amd64	3.14.4-1ubuntu0.1
libpython3.14-minimal:amd64	3.14.4-1ubuntu0.1
libpython3.14-stdlib:amd64	3.14.4-1ubuntu0.1
libqmi-glib5:amd64	1.38.0-1
libqmi-proxy	1.38.0-1
libqmi-utils	1.38.0-1
libqrencode4:amd64	4.1.1-2build1
libqrtr-glib0:amd64	1.2.2-2ubuntu1
libraptor2-0:amd64	2.0.16-6build1
libraw1394-11:amd64	2.1.2-2build4
libre2-11:amd64	20250805-1build3
libreadline8t64:amd64	8.3-4
librsvg2-2:amd64	2.61.3+dfsg-3
librtmp1:amd64	2.4+20151223.gitfa8646d.1-3
libsamplerate0:amd64	0.2.2-4build2
libsasl2-2:amd64	2.1.28+dfsg1-9ubuntu3
libsasl2-modules:amd64	2.1.28+dfsg1-9ubuntu3
libsasl2-modules-db:amd64	2.1.28+dfsg1-9ubuntu3
libsbc1:amd64	2.1-1build1
libsdl3-0:amd64	3.4.2+ds-1ubuntu1
libseccomp2:amd64	2.6.0-2ubuntu5
libselinux1:amd64	3.9-4build1
libsemanage-common	3.9-1build1
libsemanage2:amd64	3.9-1build1
libsensors-config	1:3.6.2-2build1
libsensors5:amd64	1:3.6.2-2build1
libsepol2:amd64	3.9-2
libserd-0-0:amd64	0.32.6-1
libsframe3:amd64	2.46-3ubuntu2
libsgutils2-1.48:amd64	1.48-3ubuntu3.1
libsharpyuv0:amd64	1.5.0-0.1build1
libshout3:amd64	2.4.6-1build3
libsimdjson29:amd64	4.2.4-1
libsimdutf31:amd64	8.0.0-1
libslang2:amd64	2.3.3-5build1
libsmartcols1:amd64	2.41.3-3ubuntu2.2
libsnappy1v5:amd64	1.2.2-2
libsndfile1:amd64	1.2.2-4
libsodium23:amd64	1.0.18-2
libsord-0-0:amd64	0.16.20-1
libsort-naturally-perl	1.03-4
libsoundtouch1:amd64	2.4.0+ds-1build1
libsoup-3.0-0:amd64	3.6.6-1
libsoup-3.0-common	3.6.6-1
libspa-0.2-modules:amd64	1.6.2-1ubuntu1.1
libspandsp2t64:amd64	0.0.6+dfsg-2.2build2
libspeex1:amd64	1.2.1-3build1
libsqlite3-0:amd64	3.46.1-9ubuntu0.2
libsratom-0-0:amd64	0.6.20-1
libsrt1.5-gnutls:amd64	1.5.4-3
libsrtp2-1:amd64	2.7.0-3build1
libss2:amd64	1.47.2-3ubuntu4
libssh2-1t64:amd64	1.11.1-1ubuntu0.26.04.4
libssl3t64:amd64	3.5.5-1ubuntu3.5
libstdc++6:amd64	16-20260322-1ubuntu1
libstemmer0d:amd64	3.0.1-1
libsvtav1enc2:amd64	2.3.0+dfsg-1build1
libsystemd-shared:amd64	259.5-0ubuntu3.4
libsystemd0:amd64	259.5-0ubuntu3.4
libtag2:amd64	2.2.1-3
libtasn1-6:amd64	4.21.0-2
libtcl8.6:amd64	8.6.17+dfsg-1build1
libteamdctl0:amd64	1.31-1build4
libtensorflow-lite2.14.1:amd64	2.14.1+dfsg-3build1
libterm-readkey-perl	2.38-2build5
libtext-charwidth-perl:amd64	0.04-11build4
libtext-iconv-perl:amd64	1.7-8.1
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.30-1
libthai0:amd64	0.1.30-1
libtheora1:amd64	1.2.0+dfsg-6
libtheoradec2:amd64	1.2.0+dfsg-6
libtheoraenc2:amd64	1.2.0+dfsg-6
libtiff6:amd64	4.7.0-3ubuntu5
libtinfo6:amd64	6.6+20251231-1
libtirpc-common	1.3.7-0.1
libtirpc3t64:amd64	1.3.7-0.1
libtraceevent1:amd64	1:1.8.7-1
libtraceevent1-plugin:amd64	1:1.8.7-1
libtracefs1:amd64	1.8.2-1ubuntu1
libtss2-esys-3.0.2-0t64:amd64	4.1.3-6
libtss2-mu-4.0.1-0t64:amd64	4.1.3-6
libtss2-sys1t64:amd64	4.1.3-6
libtss2-tcti-cmd0t64:amd64	4.1.3-6
libtss2-tcti-device0t64:amd64	4.1.3-6
libtss2-tcti-mssim0t64:amd64	4.1.3-6
libtss2-tcti-swtpm0t64:amd64	4.1.3-6
libtwolame0:amd64	0.4.0-2build4
libuchardet0:amd64	0.0.8-2
libudev1:amd64	259.5-0ubuntu3.4
libudisks2-0:amd64	2.10.91-1ubuntu2.1
libunibreak6:amd64	6.1-3build1
libunistring5:amd64	1.3-2build1
libunwind8:amd64	1.8.3-0ubuntu1
libupower-glib3:amd64	1.91.1-1
liburcu8t64:amd64	0.15.6-1
libusb-1.0-0:amd64	2:1.0.29-2build1
libusb-1.0-0-dev:amd64	2:1.0.29-2build1
libusb-1.0-doc	2:1.0.29-2build1
libusbmuxd-2.0-7:amd64	2.1.1-1
libuuid1:amd64	2.41.3-3ubuntu2.2
libuv1t64:amd64	1.51.0-2ubuntu1
libv4l-0t64:amd64	1.32.0-2ubuntu1
libv4lconvert0t64:amd64	1.32.0-2ubuntu1
libva-drm2:amd64	2.23.0-1ubuntu1
libva2:amd64	2.23.0-1ubuntu1
