libdv4t64	1.0.0-17.1build2	amd64
libdvdnav4	7.0.0-2	amd64
libdvdread8t64	7.0.1-1	amd64
libdw1t64	0.194-4	amd64
libeatmydata1	131-2build1	amd64
libedit2	3.1-20251016-1	amd64
libefiboot1t64	39-2	amd64
libefivar1t64	39-2	amd64
libegl-mesa0	26.0.8-1ubuntu0.3	amd64
libegl1	1.7.0-3	amd64
libelf1t64	0.194-4	amd64
libepoxy0	1.5.10-2build1	amd64
liberror-perl	0.17030-1	all
libestr0	0.1.11-2build1	amd64
libevdev2	1.13.6+dfsg-1	amd64
libevent-core-2.1-7t64	2.1.12-stable-10ubuntu0.1	amd64
libexpat1	2.7.4-1	amd64
libext2fs2t64	1.47.2-3ubuntu4	amd64
libfaad2	2.11.2-1build1	amd64
libfarmhash0	0~git20190513.0d859a8-4	amd64
libfastjson4	1.2304.0-2build1	amd64
libfdisk1	2.41.3-3ubuntu2.2	amd64
libfdt1	1.7.2-2ubuntu1	amd64
libffi8	3.5.2-4	amd64
libfftw3-single3	3.3.10-2fakesync1build3	amd64
libfido2-1	1.16.0-2build1	amd64
libflac14	1.5.0+ds-5	amd64
libflashrom1	1.6.0-2ubuntu1.1	amd64
libflite1	2.2-7build1	amd64
libfluidsynth3	2.4.8+dfsg-1	amd64
libfontconfig1	2.17.1-3ubuntu1	amd64
libfontenc1	1:1.1.8-1build2	amd64
libfreeaptx0	0.2.2-1build1	amd64
libfreetype6	2.14.2+dfsg-1ubuntu0.1	amd64
libfribidi0	1.0.16-5	amd64
libftdi1-2	1.6~rc1-1build1	amd64
libfuse3-4	3.18.2-1	amd64
libfwupd3	2.1.1-1ubuntu3.1	amd64
libfyaml0	0.9.4-1	amd64
libgbm1	26.0.8-1ubuntu0.3	amd64
libgcc-s1	16-20260322-1ubuntu1	amd64
libgcrypt20	1.12.0-2ubuntu1.1	amd64
libgdbm-compat4t64	1.26-1build1	amd64
libgdbm6t64	1.26-1build1	amd64
libgdk-pixbuf-2.0-0	2.44.5+dfsg-4ubuntu1	amd64
libgdk-pixbuf2.0-common	2.44.5+dfsg-4ubuntu1	all
libgirepository-2.0-0	2.88.0-1	amd64
libgl1	1.7.0-3	amd64
libgl1-mesa-dri	26.0.8-1ubuntu0.3	amd64
libglib2.0-0t64	2.88.0-1	amd64
libglib2.0-bin	2.88.0-1	amd64
libglib2.0-data	2.88.0-1	all
libglvnd0	1.7.0-3	amd64
libglx-mesa0	26.0.8-1ubuntu0.3	amd64
libglx0	1.7.0-3	amd64
libglycin-2-0	2.1.1+ds-0ubuntu1	amd64
libgme0	0.6.4-1	amd64
libgmp10	2:6.3.0+dfsg-5ubuntu2	amd64
libgnutls30t64	3.8.12-2ubuntu1.1	amd64
libgomp1	16-20260322-1ubuntu1	amd64
libgpg-error-l10n	1.58-2	all
libgpg-error0	1.58-2	amd64
libgpgme45	2.0.1-2build1	amd64
libgpiod3	2.2.1-3build1	amd64
libgpm2	1.20.7-12build1	amd64
libgprofng0	2.46-3ubuntu2	amd64
libgraphite2-3	1.3.14-11ubuntu1.1	amd64
libgsm1	1.0.23-2	amd64
libgssapi-krb5-2	1.22.1-2ubuntu4.1	amd64
libgssdp-1.6-0	1.6.4-5	amd64
libgstreamer-gl1.0-0	1.28.2-1	amd64
libgstreamer-plugins-bad1.0-0	1.28.2-1ubuntu1.1	amd64
libgstreamer-plugins-base1.0-0	1.28.2-1	amd64
libgstreamer-plugins-extra1.0-0	1.28.2-1ubuntu1.1	amd64
libgstreamer1.0-0	1.28.2-1	amd64
libgtk-3-0t64	3.24.52-0ubuntu1	amd64
libgtk-3-common	3.24.52-0ubuntu1	all
